stop_id,stop_lat,stop_lon,stop_name
10928,42.352614,-71.132097,Harvard Ave @ Brighton Ave
1094,42.352511,-71.163102,Brooks St @ Faneuil St
109802,42.383937,-70.999451,Saratoga St @ Teragram St
109804,42.38233,-70.991479,Main St @ Pleasant St
109805,42.382135,-70.98895999999999,Main St @ Beal St
109807,42.379617,-70.985872,Hermon St @ Lincoln St
109809,42.375909,-70.987693,Pauline St opp Woodside Ave
109810,42.374436,-70.991198,Pauline St @ Pleasant St
109811,42.37318,-70.989766,Pleasant St @ Somerset Ave
109812,42.372904,-70.98732799999999,Pleasant St @ Bartlett Rd
109814,42.372595,-70.984668,Pleasant St @ Sunnyside Ave
109815,42.372389,-70.98292,Pleasant St @ Seaview Ave
109816,42.372198,-70.981132,Pleasant St @ Winthrop St
109817,42.372167999999995,-70.978521,Washington Ave opp Willow Ave
109818,42.372021,-70.97684199999999,Washington Ave opp Lewis Ave
109819,42.3719,-70.974424,Washington Ave opp River Rd
109820,42.372456,-70.97191,Washington Ave opp Veterans Rd
109821,42.372701,-70.97158499999999,Veterans Rd @ Washington Ave
109822,42.374284,-70.972804,Veterans Rd @ Cutler St
109823,42.375878,-70.97402,Veterans Rd @ Levy Bramson Way
109824,42.377434,-70.974987,Veterans Rd opp Seafoam Ave
109825,42.378929,-70.97580099999999,Veterans Rd @ Hadassah Way
109826,42.381135,-70.975503,Veterans Rd @ Shirley St
109827,42.382563,-70.973827,Veterans Rd @ Locust St
109828,42.384521,-70.973152,Crest Ave @ Grovers Ave
109829,42.386455,-70.975745,Crest Ave @ Highland Ave
109830,42.384736,-70.97805199999999,Revere St opp Summit Ave
109831,42.38248,-70.98036499999999,Revere St @ Governors Dr
109832,42.38167,-70.98227,Revere St @ Winthrop St
109834,42.381999,-70.986122,Main St @ Douglas St
109835,42.382255,-70.988942,Main St @ Fairview St
109836,42.38247,-70.991716,Main St @ Pleasant St
109838,42.383963,-70.99915899999999,Saratoga St opp Teragram St
109841,42.370712999999995,-70.970441,Shirley St opp Moore St
109842,42.369467,-70.971284,Shirley St opp Crystal Cove Ave
109844,42.365379999999995,-70.96932,Shirley St @ Pontos St
109845,42.363754,-70.970139,Shirley St @ Petrel St
109846,42.363029999999995,-70.97039,Shirley St opp Yirrell Beach
109848,42.360982,-70.97088699999999,Shirley St @ Bay View Ave
109849,42.358897,-70.970587,Tafts Ave @ Otis St
109853,42.35569,-70.967704,Deer Island - MWRA Gate
109857,42.359196,-70.970574,Tafts Ave @ Otis St
109858,42.360776,-70.970795,Shirley St @ Bay View Ave
109860,42.362995999999995,-70.970216,Shirley St @ Yirrell Beach
109861,42.363541999999995,-70.97007099999999,Shirley St @ Petrel St
109862,42.365243,-70.96920999999999,Shirley St opp Pontos St
109864,42.369295,-70.971194,Shirley St @ Crystal Cove Ave
109865,42.370549,-70.970361,Shirley St @ Moore St
109868,42.381889,-70.98615,Main St @ Hermon St
109870,42.381544,-70.982478,Main St @ Winthrop St
109871,42.382314,-70.98046599999999,Revere St opp Governors Dr
109872,42.384712,-70.97788899999999,Revere St @ Summit Ave
109873,42.386434,-70.975916,Revere St @ Crest Ave
109874,42.384428,-70.973253,Crest Ave @ Grovers Ave
109875,42.382589,-70.973709,Beach Rd @ Locust St
109877,42.379053999999996,-70.97500099999999,Shirley St opp Coral Ave
109878,42.377526,-70.974688,Shirley St opp Seafoam Ave
109879,42.376141,-70.973918,Shirley St @ Levy Bramson Way
109880,42.374554,-70.972555,Shirley St @ Cutler St
109883,42.372069,-70.97424,Washington Ave @ River Rd
109884,42.372114,-70.97657699999999,Washington Ave @ Lewis Ave
109885,42.37228,-70.978265,Washington Ave @ Willow Ave
109886,42.372302999999995,-70.980875,Washington Ave @ Winthrop St
109887,42.372479,-70.982654,Pleasant St @ Vine Ave
109888,42.372686,-70.98440099999999,Pleasant St @ Buchanan St
109890,42.372995,-70.987061,Pleasant St @ Bartlett Rd
