x,y,dept_name
-21.36468833918221,9.165086407358204e-6,Assembly
-17.531558443529832,1.5472970270122727e-5,Assembly
-13.698428547877455,2.544153772690151e-5,Assembly
-9.865298652225079,4.076314378292497e-5,Assembly
-6.032168756572702,6.36772826743734e-5,Assembly
-2.199038860920325,9.703867317677738e-5,Assembly
1.6340910347320516,1.4434732446145333e-4,Assembly
5.467220930384428,2.0972024216657595e-4,Assembly
9.300350826036805,2.977843086679914e-4,Assembly
13.133480721689182,4.134722097042471e-4,Assembly
16.96661061734156,5.617085107843169e-4,Assembly
20.799740512993935,7.505756619881382e-4,Assembly
24.632870408646312,9.810724096725653e-4,Assembly
28.46600030429869,0.001253319767235165,Assembly
32.299130199951065,0.0015657240943307488,Assembly
36.13226009560344,0.0019137777780913936,Assembly
39.96538999125582,0.002289858805406692,Assembly
43.798519886908196,0.0026832941152932646,Assembly
47.63164978256057,0.003080716733231823,Assembly
51.46477967821295,0.003466717824481734,Assembly
55.297909573865326,0.003824763247105602,Assembly
59.1310394695177,0.004138312269918785,Assembly
62.96416936517008,0.0043867207588592465,Assembly
66.79729926082246,0.004558093561761081,Assembly
70.63042915647483,0.004647213876972702,Assembly
74.46355905212721,0.004651062267776349,Assembly
78.29668894777959,0.004571205005601789,Assembly
82.12981884343196,0.004413525370448345,Assembly
85.96294873908434,0.004187626555635412,Assembly
89.79607863473672,0.00390597894568416,Assembly
93.62920853038909,0.0035829023917348405,Assembly
97.46233842604147,0.0032334828469451956,Assembly
101.29546832169385,0.002872522225076347,Assembly
105.12859821734622,0.0025144528750196413,Assembly
108.9617281129986,0.002172432463350716,Assembly
112.79485800865098,0.0018544389776773498,Assembly
116.62798790430335,0.0015659979347293095,Assembly
120.46111779995573,0.0013101956311402198,Assembly
124.2942476956081,0.001087981259551152,Assembly
128.12737759126048,8.985590187670372e-4,Assembly
131.96050748691286,7.398221749327198e-4,Assembly
135.79363738256524,6.087869979965409e-4,Assembly
139.6267672782176,5.019926065081312e-4,Assembly
143.45989717387,4.1584219939631313e-4,Assembly
147.29302706952237,3.474003222619275e-4,Assembly
151.12615696517474,2.9352898362210704e-4,Assembly
154.95928686082712,2.5051714384232365e-4,Assembly
158.7924167564795,2.1632750635946227e-4,Assembly
162.62554665213187,1.8936549286979385e-4,Assembly
166.45867654778425,1.684244152763766e-4,Assembly
170.29180644343663,1.5261639636131972e-4,Assembly
174.124936339089,1.4129702421227788e-4,Assembly
177.95806623474138,1.3399029798563864e-4,Assembly
181.79119613039376,1.3031929805395548e-4,Assembly
185.62432602604613,1.2994720299181454e-4,Assembly
189.4574559216985,1.3258950143345402e-4,Assembly
193.2905858173509,1.3797771659529613e-4,Assembly
197.12371571300326,1.4545257525687118e-4,Assembly
200.95684560865564,1.5463432542217864e-4,Assembly
204.78997550430802,1.65233082602688e-4,Assembly
208.6231053999604,1.7713196960665896e-4,Assembly
212.45623529561277,1.904786277562017e-4,Assembly
216.28936519126515,2.057745903482731e-4,Assembly
220.12249508691752,2.239507727182439e-4,Assembly
223.9556249825699,2.4641707043936617e-4,Assembly
227.78875487822228,2.7507484359181136e-4,Assembly
231.62188477387465,3.123532414949372e-4,Assembly
235.455014669527,3.624956107466325e-4,Assembly
239.2881445651794,4.275728058039538e-4,Assembly
243.1212744608318,5.104235538284769e-4,Assembly
246.95440435648416,6.135221915843037e-4,Assembly
250.7875342521365,7.387284055626679e-4,Assembly
254.62066414778891,8.870536025972461e-4,Assembly
258.45379404344135,0.0010584628032680424,Assembly
262.28692393909364,0.001251729167960669,Assembly
266.12005383474605,0.0014643553844849288,Assembly
269.95318373039845,0.0016925722991914189,Assembly
273.78631362605086,0.0019314205015000042,Assembly
277.61944352170315,0.002174539293460783,Assembly
281.45257341735555,0.0024138167733986594,Assembly
285.28570331300796,0.0026420156070710334,Assembly
289.11883320866036,0.0028520608414909655,Assembly
292.95196310431265,0.0030373618536725234,Assembly
296.78509299996506,0.0031921479710596383,Assembly
300.61822289561746,0.003311757115689846,Assembly
304.45135279126987,0.003392860500997046,Assembly
308.28448268692216,0.0034336105194193345,Assembly
312.11761258257457,0.0034337037290338625,Assembly
315.95074247822697,0.003394356091514622,Assembly
319.7838723738794,0.0033155635905616414,Assembly
323.61700226953167,0.003204027545423056,Assembly
327.4501321651841,0.0030657656002333706,Assembly
331.2832620608365,0.0029062998844432237,Assembly
335.1163919564889,0.002731333964889818,Assembly
338.9495218521412,0.0025464739314174853,Assembly
342.7826517477936,0.0023569861434123065,Assembly
346.615781643446,0.0021676029153770426,Assembly
350.4489115390984,0.001982383336633649,Assembly
354.2820414347507,0.0018046322300304097,Assembly
358.1151713304031,0.0016368761649070505,Assembly
361.9483012260555,0.00148174666722566,Assembly
365.7814311217079,0.0013401247640077074,Assembly
369.6145610173602,0.001211861774968186,Assembly
373.4476909130126,0.0010969594225703073,Assembly
377.280820808665,0.00099518414896018325,Assembly
381.1139507043174,9.061817495951779e-4,Assembly
384.9470805999697,8.295741005286183e-4,Assembly
388.7802104956221,7.650340597118415e-4,Assembly
392.6133403912745,7.123365454178068e-4,Assembly
396.4464702869269,6.713855534427618e-4,Assembly
400.2796001825792,6.422184103965098e-4,Assembly
404.1127300782316,6.25596282661215e-4,Assembly
407.945859973884,6.219285311833683e-4,Assembly
411.7789898695364,6.307660871482523e-4,Assembly
415.6121197651887,6.523220311872174e-4,Assembly
419.4452496608411,6.867016186835957e-4,Assembly
423.2783795564935,7.338479073634586e-4,Assembly
427.1115094521459,7.934918894829737e-4,Assembly
