x,y,dept_name
-123.90362887313938,1.690634389881029e-6,Assembly
-114.76114891668874,3.023837486390144e-6,Assembly
-105.6186689602381,5.227321441999374e-6,Assembly
-96.47618900378745,8.739176966447896e-6,Assembly
-87.33370904733681,1.413860975217572e-5,Assembly
-78.19122909088617,2.2149846855127623e-5,Assembly
-69.04874913443551,3.362366054482244e-5,Assembly
-59.90626917798487,4.948800610655958e-5,Assembly
-50.763789221534225,7.06612787735431e-5,Assembly
-41.62130926508358,9.792602255179477e-5,Assembly
-32.47882930863294,1.3220129111257868e-4,Assembly
-23.336349352182296,1.7308759879198368e-4,Assembly
-14.193869395731639,2.1947198913922268e-4,Assembly
-5.051389439280996,2.696692638540612e-4,Assembly
4.091090517169647,3.212807415996522e-4,Assembly
13.23357047362029,3.7137218490926875e-4,Assembly
22.376050430070933,4.1676903745221396e-4,Assembly
31.518530386521576,4.544375618360973e-4,Assembly
40.66101034297222,4.819004792930596e-4,Assembly
49.80349029942286,4.976227908371204e-4,Assembly
58.945970255873505,5.013003320714345e-4,Assembly
68.08845021232415,4.93991908029882e-4,Assembly
77.23093016877479,4.778814546262997e-4,Assembly
86.37341012522543,4.5683736532271016e-4,Assembly
95.5158900816761,4.353043210869239e-4,Assembly
104.65837003812675,4.169552069983672e-4,Assembly
113.80084999457739,4.046854278895612e-4,Assembly
122.94332995102803,4.0023124728885766e-4,Assembly
132.08580990747868,4.039680779284198e-4,Assembly
141.22828986392932,4.1491169209955373e-4,Assembly
150.37076982037996,4.3091671546736975e-4,Assembly
159.5132497768306,4.490403288835715e-4,Assembly
168.65572973328125,4.6601742122317076e-4,Assembly
177.7982096897319,4.787786470913702e-4,Assembly
186.94068964618253,4.8487819587302256e-4,Assembly
196.08316960263318,4.823748745672066e-4,Assembly
205.22564955908382,4.722663638912454e-4,Assembly
214.36812951553446,4.561534703889592e-4,Assembly
223.5106094719851,4.365519539159585e-4,Assembly
232.65308942843575,4.164995655887185e-4,Assembly
241.7955693848864,3.991136738098928e-4,Assembly
250.93804934133703,3.871634150958756e-4,Assembly
260.0805292977877,3.827133135386712e-4,Assembly
269.2230092542383,3.8688199697921777e-4,Assembly
278.36548921068896,3.9974194568423156e-4,Assembly
287.5079691671396,4.2036622456242034e-4,Assembly
296.65044912359025,4.4700804132767483e-4,Assembly
305.7929290800409,4.7744193113737407e-4,Assembly
314.9354090364916,5.087153348044649e-4,Assembly
324.07788899294223,5.385485642687133e-4,Assembly
333.2203689493929,5.65217100952841e-4,Assembly
342.3628489058435,5.875765989025195e-4,Assembly
351.50532886229416,6.050662118174345e-4,Assembly
360.6478088187448,6.176296126559909e-4,Assembly
369.79028877519545,6.25583929255954e-4,Assembly
378.9327687316461,6.294709802328405e-4,Assembly
388.07524868809674,6.299226861703325e-4,Assembly
397.2177286445474,6.275643111986317e-4,Assembly
406.360208600998,6.229669731522521e-4,Assembly
415.50268855744866,6.1659633850375e-4,Assembly
424.6451685138993,6.090188568412948e-4,Assembly
433.78764847034995,6.008520068220592e-4,Assembly
442.9301284268006,5.926684107142202e-4,Assembly
452.07260838325124,5.850688323429436e-4,Assembly
461.2150883397019,5.786427528685929e-4,Assembly
470.3575682961525,5.739165794302367e-4,Assembly
479.50004825260316,5.713014368224328e-4,Assembly
488.6425282090538,5.7105096933678e-4,Assembly
497.78500816550445,5.732362265333006e-4,Assembly
506.9274881219551,5.777406064452095e-4,Assembly
516.0699680784057,5.842739981412134e-4,Assembly
525.2124480348564,5.924166071770248e-4,Assembly
534.354927991307,6.016267588799026e-4,Assembly
543.4974079477577,6.111811433872492e-4,Assembly
552.6398879042083,6.205105489004378e-4,Assembly
561.782367860659,6.29117341187223e-4,Assembly
570.9248478171096,6.366179349541972e-4,Assembly
580.0673277735602,6.427742045424676e-4,Assembly
589.2098077300109,6.475091748586428e-4,Assembly
598.3522876864615,6.5090360614161e-4,Assembly
607.4947676429122,6.531723842826611e-4,Assembly
616.6372475993628,6.546225838371714e-4,Assembly
625.7797275558135,6.555981859163197e-4,Assembly
634.9222075122641,6.564191100628807e-4,Assembly
644.0646874687147,6.573383659554422e-4,Assembly
653.2071674251654,6.584397636321918e-4,Assembly
662.349647381616,6.596339092532372e-4,Assembly
671.4921273380667,6.606966560249104e-4,Assembly
680.6346072945173,6.612977306401502e-4,Assembly
689.777087250968,6.610410798570092e-4,Assembly
698.9195672074186,6.59508913881885e-4,Assembly
708.0620471638692,6.563037141564078e-4,Assembly
717.2045271203199,6.510839578590852e-4,Assembly
726.3470070767705,6.435910558419517e-4,Assembly
735.4894870332212,6.336666817704391e-4,Assembly
744.6319669896718,6.21261021009629e-4,Assembly
753.7744469461226,6.06320087089951e-4,Assembly
762.9169269025732,5.890639222031609e-4,Assembly
772.0594068590239,5.698859465381379e-4,Assembly
781.2018868154745,5.491393520044318e-4,Assembly
790.3443667719251,5.272302142784486e-4,Assembly
799.4868467283758,5.045989977132667e-4,Assembly
808.6293266848264,4.8170210628632846e-4,Assembly
817.7718066412771,4.5899461756205683e-4,Assembly
826.9142865977277,4.3691522586607423e-4,Assembly
836.0567665541784,4.158741193978959e-4,Assembly
845.199246510629,3.962440570045619e-4,Assembly
854.3417264670796,3.7835435879822726e-4,Assembly
863.4842064235303,3.625349655680486e-4,Assembly
872.6266863799809,3.4916299784077244e-4,Assembly
881.7691663364316,3.3823968890641157e-4,Assembly
890.9116462928822,3.298561410268025e-4,Assembly
900.0541262493329,3.240309539821297e-4,Assembly
909.1966062057835,3.207014395489473e-4,Assembly
918.3390861622341,3.197163962242968e-4,Assembly
